name,id,tier,type,description,is_magic,bought,zh,learned_by,monsters_use,buffed_by,mana_cost,gives,pets_use,causes,m1,M2.max,M2.min,turns,ward,hp,strikes,crit,element,cures,cost
Tiamat's Breath,196,7,Multi-round Magic,Breath of the mighty Tiamat.  Requires 3 turns in battle.,1,,迪亞馬特的吐息,"[{""id"":38,""name"":""Archdruid"",""level"":175,""specialization"":false}]","[419,417]",,200,,,,1,6,7,3,,,1,0,Dragon,,
Firestrike III,197,7,Attack,Light your weapon aflame and attack the enemy.,,,火焰之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":150,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":175,""specialization"":false}]","[411,413,356,300,342,310,312,431,412,319]",,120,,"[65,107]","[""Burning""]",2,1,1,1,,,1,0.05,Fire,,
Icestrike III,198,7,Attack,Freeze your weapon and attack the enemy,,,冰凍之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":150,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":175,""specialization"":false}]","[413,449,285,342,345,310,312,447,319,372]",,120,,[105],"[""Frozen""]",2,1,1,1,,,1,0.05,Water,,
Earthstrike III,199,7,Attack,Attack the enemy with earthen power.,,,大地之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":150,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":175,""specialization"":false}]","[413,451,342,310,312,432,372,320]",,120,,,"[""Rot""]",2,1,1,1,,,1,0.05,Earthen,,
Lightningstrike III,200,7,Attack,Electrify your weapon and attack the enemy.,,,閃電之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":150,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":175,""specialization"":false}]","[413,356,289,342,345,310,319]",,120,,,"[""Paralyzed""]",2,1,1,1,,,1,0.05,Lightning,,
Darkstrike III,201,7,Attack,Imbue your weapon with the occult and attack the enemy.,,,黑暗之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":155,""specialization"":false}]","[413,471,492,309,342,345,264,474,310,312,470,432,431,367,475,415,476]",,150,,"[100,63]",,2,1,1,1,,,1,0.15,Dark,,
Holystrike III,202,7,Attack,Purify your weapon and attack the enemy,,,神聖之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":155,""specialization"":false}]","[413,449,448,492,342,446,312,447,470,328,319]",,150,,[100],"[""Blind""]",2,1,1,1,,,1,0.05,Holy,,
Osmostrike III,203,7,Attack,"Attack, healing yourself in the process.",,,滲透攻擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":165,""specialization"":false}]","[466,311,309,307,330,315,314]",,150,,,,2,1,1,1,,25,1,0.05,,,
Omnistrike III,204,7,Attack,Strike hard with the chance of weakening your opponent's attack or defenses.,,,融合之擊 III,"[{""id"":40,""name"":""Majistrate"",""level"":170,""specialization"":false}]","[277,413,311,269,279,312,337,432,431,307,315,314]",,175,,[60],"[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",2,1,1,1,,,1,0.05,,,
Arcane Strikes II,205,7,Multi-round Attack,Attacking thrice with the unrelenting arcane energy.  Requires 3 turns in battle.,,,奧術連擊 II,"[{""id"":40,""name"":""Majistrate"",""level"":175,""specialization"":false}]",,,200,,[118],,1,1.5,2,3,,,3,0,Arcane,,
Fireball,206,7,Magic,Balor Elite summons a Fireball to destroy you.  Chance to burn and blight.,1,,火球術,,"[164,138,117,155,454,179,120,212,149,271,322,419,417]",,1,,[52],,,,,,,,,,Fire,,
Annihilation,207,7,Multi-round Attack,Very strong attack with chance to burn and blind.  Requires 2 turns in battle.,,,死滅一擊,,"[276,430,454,179]",,1,,,,,,,,,,,,,,
King's Reign,208,8,Multi-round Magic,Extremely powerful magic attack of Fallen King Arthus.  Requires 2 turns in battle.,1,,王之統治,,"[276,234]",,1,,,"[""Cursed""]",,,,,,,,,,,
Crest of Avalon,209,7,Passive,Your stats increase as you defeat berserk or arisen monsters.  (Increases by 10% per berserk or arisen defeated),1,,阿瓦隆的紋章,"[{""id"":33,""name"":""Blademaster"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Quake III,210,6,Magic,Deals great earthen damage.  Chance to stun.,1,,地震術 III,"[{""id"":37,""name"":""Gaia"",""level"":175,""specialization"":false}]","[160,276,178,400,169,145,254,233,404,184,343,484]",,120,,,,2,1,1,1,,,1,0,Earthen,,
Catastrophe,211,6,Multi-round Attack,Titan's strong attack with a chance to freeze and cause sleep.  Requires 2 turns in battle.,,,大災禍,,"[276,430,178]",,1,,,,,,,,,,,,,,
Stone Stare,212,7,Debuff,Debuff spell of Titan.,1,,石化凝視,,"[347,276,430,178,146,348,314]",,1,,,"[""Petrified""]",,,,,,,,,,,
Onslaught,213,6,Attack,Strike twice with the chance to greatly reduce an opponent's defenses.,,,猛攻,,"[85,308,347,411,277,455,140,178,133,170,454,257,124,179,425,300,287,291,285,342,357,279,418,187,348,479,491,404,431,367,265,438,406,330,441,460,461,412,469,390,483,401,439,374]",,1,,"[126,118,86,120]","[""Def ↓"",""Def ↓↓""]",,,,,,,,,,,
Jump,214,7,Multi-round Attack,"Jump high and attack your opponent from the air, possibly breaking their offensive power upon landing. Gives Ward for 2 turns and requires 2 turns in battle.",,,躍起,"[{""id"":39,""name"":""Dragon Knight"",""level"":150,""specialization"":false}]","[451,359,298,294,483]",,50,,[115],"[""Att ↓"",""Mag ↓""]",1,2,4,2,2,,1,0,,,
Multi-flare,215,7,Magic,Deals moderate dragon damage thrice.,1,,多重閃焰術,"[{""id"":39,""name"":""Dragon Knight"",""level"":155,""specialization"":false}]","[312,271,294,483]",,90,,[52],,1,0.7,1.2,1,,,3,0,Dragon,,
Blightstrike II,216,7,Attack,Strike hard with the chance of causing blight.,,,枯萎之擊 II,"[{""id"":39,""name"":""Dragon Knight"",""level"":160,""specialization"":false}]","[356,298,275,342,428]",,90,,"[98,54]","[""Blight""]",1.75,1,1,1,,,1,0.05,Dragon,,
Wyvern Speed II,217,5,Buff,"Move like a dragon, potentially improving dex, attack, and magic power.",1,,飛龍之速 II,"[{""id"":39,""name"":""Dragon Knight"",""level"":165,""specialization"":false}]","[308,356,271,405]",,180,"[""Att ↑"",""Mag ↑"",""Dex ↑""]","[103,56]",,,,,,,,,,,,
Dragon's Vengeance III,218,6,Multi-round Attack,Deals damage multiple times according to the amount of dragons one has recently slain. Requires 3 turns in battle.,,,龍的復仇 III,"[{""id"":39,""name"":""Dragon Knight"",""level"":175,""specialization"":false}]",,,200,,,,1.5,3,3,3,,,3,0,,,
Shadow,219,3,Magic,Deals moderate dark damage.,1,,暗影擊,"[{""id"":9,""name"":""Mystic"",""level"":75,""specialization"":false}]",[58],,25,,[33],,1.2,1,1,1,,,1,0,Dark,,
Shadow II,220,4,Magic,Deals greater dark damage.,1,,暗影擊 II,"[{""id"":9,""name"":""Mystic"",""level"":90,""specialization"":false}]","[64,101]",,40,,"[33,45]",,1.3,1,1,1,,,1,0,Dark,,
Fulmination II,221,8,Multi-round Magic,"Unstable magic that can deal massive lightning damage, but may damage or paralyze its caster. Requires 3 turns in battle",1,,雷鳴術 II,"[{""id"":35,""name"":""Taranis"",""level"":185,""specialization"":false}]",,,250,,[66],,1,6,9,3,,-10,1,0,Lightning,,
Inferno II,222,8,Multi-round Magic,"Unstable magic that can deal massive fire damage, but may damage or burn its caster. Requires 3 turns in battle",1,,煉獄術 II,"[{""id"":34,""name"":""Ifrit"",""level"":185,""specialization"":false}]",,,250,,[66],,1,6,9,3,,-10,1,0,Fire,,
Glacier II,223,8,Multi-round Magic,"Unstable magic that can deal massive ice damage, but may damage or freeze its caster. Requires 3 turns in battle",1,,冰河術 II,"[{""id"":36,""name"":""Leviathan"",""level"":185,""specialization"":false}]",,,250,,"[92,66]",,1,6,9,3,,-10,1,0,Water,,
Cataclysm II,224,8,Multi-round Magic,"Unstable magic that can deal massive earthen damage, but may damage or cause its caster to rot. Requires 3 turns in battle",1,,災變術 II,"[{""id"":37,""name"":""Gaia"",""level"":185,""specialization"":false}]",[265],,250,,[66],,1,6,9,3,,-10,1,0,Earthen,,
Bite,225,6,Attack,Orthrus pet ability.,,,咬,,"[23,2,10,272,19,24,34,381,382,126,227,410,235,76,224,243,274,252,262,244,237,228,405]",,,,[43],"[""Poisoned""]",,,,,,,,,,,
Scratch,226,6,Attack,Beastly scratch that may cause an opponent to bleed.,,,抓,,"[19,36,227,244,237,228]",,,,[43],"[""Bleeding""]",,,,,,,,,,,
Song of Power,227,6,Buff,Boosts attack power while potentially decreasing an opponent attack power.,1,,力量之歌,"[{""id"":41,""name"":""Bard"",""level"":150,""specialization"":true}]",,,75,"[""Att ↑"",""Att ↑↑"",""T. Att ↑""]",,"[""Att ↓""]",,,,,,,,,,,
Song of Magic,228,6,Buff,Boosts magic power while potentially decreasing an opponent magic power.,1,,魔力之歌,"[{""id"":41,""name"":""Bard"",""level"":150,""specialization"":true}]",,,75,"[""Mag ↑"",""Mag ↑↑"",""T. Mag ↑""]",,"[""Mag ↓""]",,,,,,,,,,,
Song of Defense,229,6,Buff,Boosts defenses while potentially decreasing an opponent's physical defenses.,1,,防禦之舞,"[{""id"":41,""name"":""Bard"",""level"":170,""specialization"":true}]",,,75,"[""Def ↑"",""Def ↑↑"",""T. Def ↑""]",,"[""Def ↓""]",,,,,,,,,,,
Warrior's Dance,230,6,Attack,"Swiftly attack thrice, dealing random damage and potentially blinding or stunning an opponent.",,,勇士之舞,"[{""id"":41,""name"":""Bard"",""level"":160,""specialization"":true}]",,,35,,,"[""Blind"",""Stunned""]",1,0.5,2,1,,,3,0,,,
Mage's Dance,231,6,Magic,Deals random non-elemental damage with the potential to cause negative status effects.,1,,法師之舞,"[{""id"":41,""name"":""Bard"",""level"":160,""specialization"":true}]","[288,440]",,80,,,"[""Burning"",""Frozen"",""Paralyzed"",""Stunned""]",1,0.5,2,1,,,1,0,,,
Song of Resistance,232,6,Buff,Boosts magic defenses while potentially decreasing an opponent's magic defenses.,1,,抵抗之舞,"[{""id"":41,""name"":""Bard"",""level"":170,""specialization"":true}]",,,75,"[""Res ↑"",""Res ↑↑"",""T. Res ↑""]",,"[""Res ↓""]",,,,,,,,,,,
Anthem of Avalon,233,6,Buff,"Potentially boosts attack, magic, defenses, and resistance while potentially decreasing opponent stats.",1,,阿瓦隆頌詩,"[{""id"":41,""name"":""Bard"",""level"":200,""specialization"":true}]","[420,421]",,200,"[""Mag ↑"",""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""T. Res ↑"",""Att ↑"",""Def ↑"",""Res ↑"",""Mag ↑↑"",""Res ↑↑"",""Def ↑↑"",""Att ↑↑""]",[99],"[""T. Def ↓"",""T. Att ↓"",""T. Mag ↓"",""T. Res ↓""]",,,,,,,,,,,
Rebuke,234,6,Debuff,Possibly greatly hinder an opponent's magical prowess temporarily (50% chance).,1,,斥責,"[{""id"":44,""name"":""Inquisitor"",""level"":150,""specialization"":true}]","[347,411,277,300,348,432,431,412,336,326]",,75,,"[106,83]","[""T. Mag ↓↓""]",,,,,,,,,,,
Blessed Shield,235,6,Buff,Temporarily greatly increases defense and resistance.,1,,祝福之盾,"[{""id"":44,""name"":""Inquisitor"",""level"":155,""specialization"":true}]",,,75,"[""T. Def ↑↑"",""T. Res ↑↑""]","[117,116]",,,,,,,,,,,,
Cleanse,236,6,Buff,Cures most status ailments and temporarily boosts defense and resistance.,,,淨化,"[{""id"":44,""name"":""Inquisitor"",""level"":160,""specialization"":true}]",,,100,"[""T. Def ↑"",""T. Res ↑""]","[117,116]",,,,,,,,,,,"[""Burning"",""Frozen"",""Paralyzed"",""Poisoned"",""Blight"",""Blind"",""Asleep"",""Stunned"",""Petrified"",""Cursed"",""Rot""]",
Inquest,237,6,Buff,Temporarily greatly increases critical hit rate.,1,,集中,"[{""id"":44,""name"":""Inquisitor"",""level"":165,""specialization"":true}]","[347,277,289,348,432,431,441,314]",,90,"[""T. Crit ↑↑""]",[106],,,,,,,,,,,,
Smite,238,3,Multi-round Attack,"Purify your weapon and attack the enemy with great force, blinding and stunning them. Requires 2 turns in battle.",,,重擊,"[{""id"":44,""name"":""Inquisitor"",""level"":175,""specialization"":true}]",,,120,,[117],"[""Blind"",""Stunned""]",1,2.5,3.5,2,,,1,0,Holy,,
Drain II,239,8,Magic,Drains a moderate amount of health.,1,,生命吸取 II,"[{""id"":38,""name"":""Archdruid"",""level"":150,""specialization"":false}]","[81,490,463,380,135,134,170,387,250,143,264,457,371,368]",,100,,"[129,67,72]",,1.25,1,1,1,,25,1,0,,,
Blizzard II,240,8,Magic,Deals great ice damage.,1,,暴風雪 II,"[{""id"":36,""name"":""Leviathan"",""level"":175,""specialization"":false}]","[283,276,169,150,145,254,181,457,220,404,368,349,484]",,120,,,,2,1,1,1,,,1,0,Water,,
Great Meditation,241,7,Buff,Immensely boosts magic power for a limited time. Requires 3 turns in battle.,1,,崇高冥想,"[{""id"":45,""name"":""Magus"",""level"":175,""specialization"":true},{""id"":50,""name"":""Maji"",""level"":200,""specialization"":true}]",,,100,"[""T. Mag ↑↑↑""]",[96],,,,,,,,,,,,
Distortion,242,5,Buff,A skill that causes a myriad of debuffs and grants the user some buffs.,1,,扭曲術,,"[12,40,33,127,91,101,120,150,279,419,417]",,1,"[""Att ↑"",""Def ↑"",""Res ↑"",""Mag ↑"",""Dex ↑""]",[49],"[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",,,,,,,,,,,
Meteor II,243,8,Magic,Deals great fire damage.,1,,隕石術 II,"[{""id"":34,""name"":""Ifrit"",""level"":175,""specialization"":false}]","[208,488,276,356,212,169,150,145,254,418,255,181,481,457,232,271,351,484]",,120,,[52],,2,1,1,1,,,1,0,Fire,,
Sidesteps,244,7,Buff,"Trade defense for footwork, decreasing an opponent's dexterity while raising one's own.",1,,迷蹤步,"[{""id"":42,""name"":""Swashbuckler"",""level"":150,""specialization"":true}]","[359,357,330]",,100,"[""T. Def ↓"",""T. Res ↓"",""Dex ↑""]","[75,79,115,93]","[""T. Dex ↓""]",,,,,,,,,,,
Beastslayer,245,7,Attack,Loose a debilitating dart to conquer a beast. Deals great damage to beasts of the wild.,,,野獸殺手,"[{""id"":43,""name"":""Beastmaster"",""level"":150,""specialization"":true}]",,,100,,,,,,,1,,,,0.05,,,
Putrid Breath,246,7,Multi-round Magic,"Naggeneen feels ill, then throws up on you giving you the Toxic status.",1,,腐爛吐息,,"[420,430,273,421,337,422]",,1,,,,,,,,,,,,,,
Toxicstrike,247,7,Attack,Naggeneen used Toxicstrike. Chance to apply Toxic.,,,劇毒之擊,,"[362,430,273,416,337]",,1,,,"[""Toxic""]",,,,,,,,,,,
The Magus,248,7,Passive,Spells cost 25% less mana.,1,,賢者,"[{""id"":45,""name"":""Magus"",""level"":0,""specialization"":true}]",,,,,,,,,,,,,,,,,
Unrelenting Fury,249,6,Multi-round Attack,"The user becomes angry and attacks the next turn. Chance to stun, cause bleeding, lower defense, and raise the user's attack.",,,不屈怒擊,,"[266,207]",,1,,,"[""Bleeding"",""Stunned"",""Def ↓""]",,,,,,,,,Physical,,
Crest of Annwn,250,7,Passive,Your stats increase as you defeat Balor and Fomorian forces.  (Increases by 10% per Balor or Fomorian defeated),1,,安溫的紋章,"[{""id"":32,""name"":""Grand Mystic"",""level"":0,""specialization"":false}]",,"[68,66,67,157,208,174,179,205,204,255,181,182,183,187]",,,,,,,,,,,,,,,
Scout Weakness,251,6,Buff,Boosts critical hit rate.,1,,弱點觀測,,"[277,225,425,285,432,431]",,1,"[""Crit ↑""]",[93],,,,,,,,,,,,
Hubris,252,9,Buff,"Temporarily increases attack, magic, defense and resistance.",1,,傲慢,,"[348,280,352]",,1,"[""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""T. Res ↑""]",[105],,,,,,,,,,,,
Apocalypse,253,9,Multi-round Attack,?,,,終焉降臨,,"[347,279,348]",,1,,,"[""Burning"",""Blind"",""Cursed"",""Def ↓↓"",""Res ↓↓""]",,,,,,,,,,,
Greed,254,9,Attack,-,,,貪婪,,"[348,280,352]",,,,[105],,,,,,,,,,,,
Envy,255,10,Attack,Deals arcane damage and may cause curse.,,,嫉妒,,"[424,425,421,426,348,280,352,423,358]",,1,,,"[""Cursed""]",,,,,,,,,Arcane,,
Despair,256,10,Magic,Deals great arcane damage.,1,,絕望,,"[421,305,348,280,352]",,,,[105],,2.5,1,1,1,,,1,0,Arcane,,
Pierce,257,1,Attack,"Attack with the point of your weapon, potentially temporarily lowering an opponent's defenses.",,1,穿刺,,,,15,,,"[""T. Def ↓""]",1,1,1,1,,,1,0.05,,,0
Cure Bleeding,258,1,Healing,Cures its user of bleeding.,1,1,治療流血,,,,25,,[53],,,,,,,,,,,,2000
Cure Blindness,259,1,Healing,Cures its user of being blinded.,1,1,治療目盲,,,,25,,[53],,,,,,,,,,,,2000
Cure Burn,260,1,Healing,Cures its user of burning.,1,1,治療燃燒,,,,25,,[53],,,,,,,,,,,"[""Burning""]",2000
Cure Frozen,261,1,Healing,Cures its user of being frozen.,1,1,治療冰凍,,,,25,,[53],,,,,,,,,,,,2000
Cure Paralysis,262,1,Healing,Cures its user of being paralyzed.,1,1,治療癱瘓,,,,25,,[53],,,,,,,,,,,,2000
Cure Poison,263,1,Healing,Cures its user of poison.,1,1,治療中毒,,[268],,25,,[53],,,,,,,,,,,,2000
Foresee,264,1,Buff,Temporarily increases magic defense and gives Ward for 1 turn.,1,1,預知術,,,,15,"[""T. Res ↑""]",,,,,,,,,,,,,2000
Guard,265,1,Buff,Temporarily increases physical defense and gives Ward for 1 turn.,1,1,守衛術,,,,15,"[""T. Def ↑""]",,,,,,,,,,,,,2000
Pommel Strike,266,1,Attack,"Strike an enemy with the hilt of a weapon, increasing the chance to stun.",,1,劍柄攻擊,,"[291,479,294,483]",,5,,,"[""Stunned""]",1,1,1,1,,,1,0.1,Physical,,2000
Ponder,267,1,Buff,Temporarily increases magic power.,1,1,沉思術,,,,15,"[""T. Mag ↑""]",[96],,,,,,,,,,,,2000
Sharpen,268,1,Buff,Temporarily increases attack power.,1,1,磨刀術,,"[471,474,475,476]",,15,"[""T. Att ↑""]",,,,,,,,,,,,,2000
Bolt II,269,2,Magic,Deals light magic damage.,1,1,魔法箭 II,,,,25,,,,1.2,1,1,1,,,1,0,,,0
Hack and Slash,270,2,Attack,"Swiftly attack twice, dealing up to double damage.",,1,砍劈,,[381],,10,,[121],,1,0.4,1,1,,,2,0,,,2500
Sap,271,2,Magic,Deals light earthen damage and drains a small amount of health.,1,1,樹汁術,,,,15,,,,1.05,1,1,1,,10,1,0,Earthen,,0
Spark IV,272,6,Magic,Deals heavy lightning damage.,1,1,星火術 IV,,,,90,,,,1.5,1,1,1,,,1,0,Lightning,,150000
Tremor IV,273,6,Magic,Deals heavy earthen damage.,1,1,地顫術 IV,,[442],,90,,"[70,119]",,1.5,1,1,1,,,1,0,Earthen,,150000
Arc,274,4,Magic,Deals light arcane damage.,1,1,弧光,,,,7,,,,1,1,1,1,,,1,0,Arcane,,50000
Flame IV,275,6,Magic,Deals heavy fire damage.,1,1,火焰術 IV,,[455],,90,,"[127,129,119]",,1.5,1,1,1,,,1,0,Fire,,150000
Frost IV,276,6,Magic,Deals heavy ice damage.,1,1,冰凍術 IV,,[449],,90,,[119],,1.5,1,1,1,,,1,0,Water,,150000
Flame V,277,8,Magic,Deals massive fire damage.,1,1,火焰術 V,,"[288,413,493,300,275,487,293,468,440,305,312,485,304,331,334,316]",,120,,[68],,2,1,1,1,,,1,0,Fire,,0
Frost V,278,8,Magic,Deals massive ice damage.,1,1,冰凍術 V,,"[288,413,493,275,487,293,468,440,305,312,348,485,304,332,316]",,120,,[68],,2,1,1,1,,,1,0,Water,,0
Spark V,279,8,Magic,Deals massive lightning damage.,1,1,星火術 V,,"[288,413,493,275,487,293,440,312,348,485,307,304,334,333,316]",,120,,[68],,2,1,1,1,,,1,0,Lightning,,1000000
Tremor V,280,8,Magic,Deals massive earthen damage.,1,1,地顫術 V,,"[288,413,445,311,493,275,487,293,440,305,312,348,485,304,324,334,316]",,120,,[68],,2,1,1,1,,,1,0,Earthen,,0
Dragonstrike,281,4,Attack,A simple attack that will deal extra damage to dragons.,,1,龍襲術,,"[399,408]",,10,,,"[""Blight""]",1.1,1,1,1,,,1,0.05,Dragon,,11000
Bandage,282,1,Healing,Recover 50 health points.,1,1,繃帶,,,,10,,,,,,,,,,,,,,1000
Purify,283,3,Magic,Deals moderate holy damage.,1,,淨化術,"[{""id"":8,""name"":""Spellsword"",""level"":75,""specialization"":false}]",,,25,,,,1.2,1,1,1,,,1,0,Holy,,
Bolt III,284,4,Magic,Deals moderate magic damage.,1,,魔法箭 III,"[{""id"":9,""name"":""Mystic"",""level"":75,""specialization"":false},{""id"":8,""name"":""Spellsword"",""level"":75,""specialization"":false}]",,,80,,,,1.5,1,1,1,,,1,0,,,
Doublecut II,285,4,Attack,"Swiftly attack twice, dealing up to double damage.",,,二連擊 II,"[{""id"":10,""name"":""Adept"",""level"":80,""specialization"":false}]","[455,399,425,387,289,408,376,438,441,439]",,40,,"[89,69,67,75,90]",,1,0.7,1.2,1,,,2,0,,,
Barrier II,286,4,Buff,Boost physical and magical defenses.,1,,屏障術 II,"[{""id"":10,""name"":""Adept"",""level"":85,""specialization"":false}]",,,60,"[""Def ↑"",""Res ↑""]",,,,,,,,,,,,,
Flurry II,287,4,Attack,"Bombard your opponent with multiple arrows, possibly breaking their defenses in the act.",,,亂舞 II,"[{""id"":10,""name"":""Adept"",""level"":90,""specialization"":false}]","[464,444,292,376,480,443,395]",,50,,[67],"[""Def ↓""]",1,0.5,1.1,1,,,3,0,,,
Tricut II,288,4,Attack,"Swiftly attack thrice, dealing up to triple damage.",,,三連擊 II,"[{""id"":10,""name"":""Adept"",""level"":100,""specialization"":false}]","[444,301,356,292,357,480,368]",,50,,"[65,107]",,1,0.7,1.2,1,,,3,0,,,
Apothecarist,289,2,Passive,You are a master of potion efficacy. Healing items will recover 25% more HP and mana.,1,,藥劑師,"[{""id"":7,""name"":""Rogue"",""level"":0,""specialization"":false},{""id"":21,""name"":""Battle Master"",""level"":0,""specialization"":false},{""id"":10,""name"":""Adept"",""level"":0,""specialization"":false},{""id"":62,""name"":""Augur"",""level"":1,""specialization"":false},{""id"":63,""name"":""Gladiator"",""level"":1,""specialization"":false},{""id"":9,""name"":""Mystic"",""level"":0,""specialization"":false},{""id"":12,""name"":""Druid"",""level"":0,""specialization"":false},{""id"":38,""name"":""Archdruid"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Charge II,290,1,Attack,"Hurl your body into the enemy, causing extra damage.",,,衝鋒 II,"[{""id"":10,""name"":""Adept"",""level"":75,""specialization"":false}]","[398,311,291,479,473,294,483]",,40,,,,1.4,1,1,1,,,1,0.05,Physical,,
Fortify II,291,3,Buff,Grants Ward for 5 turns.,1,,強化術 II,"[{""id"":22,""name"":""Centurion"",""level"":50,""specialization"":false}]",[206],,50,,,,,,,,,,,,,,
Fortify III,292,5,Buff,Grants Ward for 7 turns.,1,,強化術 III,"[{""id"":30,""name"":""Majestic"",""level"":105,""specialization"":false}]",,,75,,[61],,,,,,,,,,,,
Mend Wall II,293,3,Ward,Recovers 30% of Ward. Requires 2 turns in battle.,1,,補牆術 II,"[{""id"":22,""name"":""Centurion"",""level"":70,""specialization"":false}]",,,50,,,,,,,,,,,,,,
Mend Wall III,294,5,Ward,Recovers 50% of Ward. Requires 3 turns in battle.,1,,補牆術 III,"[{""id"":12,""name"":""Druid"",""level"":105,""specialization"":false}]",[301],,90,,[61],,,,,,,,,,,,
Rampart II,295,3,Ward,Grants Ward for 1 turn and increases damage absorbtion to 50%.,1,,壁壘術 II,"[{""id"":22,""name"":""Centurion"",""level"":60,""specialization"":false}]",[206],,50,,,,,,,,,,,,,,
Magic Arrow,296,4,Magic,Attack with a steady arrow made of magic which may lower an opponent's attack. Damage is based on one's magic stat rather than attack.,1,,魔法箭矢,"[{""id"":9,""name"":""Mystic"",""level"":85,""specialization"":false}]",,,10,,,"[""Att ↓""]",1,1,1,1,,,1,0.05,,,
Magic Dagger,297,4,Magic,Attack with a sharp dagger made of magic which may cause an opponent to bleed. Damage is based on one's magic stat rather than attack.,1,,魔法匕首,"[{""id"":9,""name"":""Mystic"",""level"":80,""specialization"":false}]",,,10,,,"[""Bleeding""]",1,1,1,1,,,1,0.05,Physical,,
Magic Strikes,298,4,Magic,"Swiftly attack thrice, dealing up to triple damage. Damage is based on one's magic stat rather than attack.",1,,魔法連擊,"[{""id"":9,""name"":""Mystic"",""level"":100,""specialization"":false},{""id"":8,""name"":""Spellsword"",""level"":100,""specialization"":false}]",,,25,,,,1,0.5,1.1,1,,,3,0,Physical,,
Ward of Mythril,299,6,Ward,Recovers and grants Ward for 5 turns and increases damage absorption to 75%.,1,1,秘銀防護,,"[345,314,320]",,120,,"[55,104]",,,,,,,,,,,,50000
Ward of Iron,300,4,Ward,Recovers and grants Ward for 2 turns and increases damage absorption to 35%.,1,1,鐵之防護,,[301],,60,,"[130,55]",,,,,,,,,,,,10000
Rampart,301,3,Ward,Grants Ward for 1 turn and increases damage absorbtion to 35%.,1,1,壁壘術,,"[35,77,57,87]",,30,,,,,,,,,,,,,,0
Magic Hammer,302,4,Magic,Attack with a blunt hammer made of magic which may lower an opponent's defense. Damage is based on one's magic stat rather than attack.,1,,魔法鎚,"[{""id"":8,""name"":""Spellsword"",""level"":85,""specialization"":false}]",,,10,,,"[""Def ↓""]",1,1,1,1,,,1,0.05,Physical,,
Magic Sword,303,4,Magic,Attack with a sharp sword made of magic which may lower an opponent's magic defense. Damage is based on one's magic stat rather than attack.,1,,魔法劍,"[{""id"":8,""name"":""Spellsword"",""level"":80,""specialization"":false}]",,,10,,,"[""Res ↓""]",1,1,1,1,,,1,0.05,Physical,,
Purify II,304,4,Magic,Deals greater holy damage.,1,,淨化術 II,"[{""id"":8,""name"":""Spellsword"",""level"":90,""specialization"":false}]",[449],,40,,,,1.3,1,1,1,,,1,0,Holy,,
Rampart III,305,5,Ward,Grants Ward for 2 turns and increases damage absorption to 75%.,1,,壁壘術 III,"[{""id"":11,""name"":""Dragoon"",""level"":105,""specialization"":false}]",[301],,75,,[61],,,,,,,,,,,,
Multi-spark II,306,9,Magic,Deals greater lightning magic thrice.,1,,多重星火術 II,"[{""id"":71,""name"":""High Taranis"",""level"":220,""specialization"":false},{""id"":65,""name"":""Omnimancer"",""level"":215,""specialization"":false}]","[288,440,312,353,304,334,333]",,160,,,,1,1,1.5,1,,,3,0,Lightning,,
Super Bomb,307,5,Debuff,Ingenious Cade uses. Damages with chance to stun.,,,超級炸彈,,"[288,440]",,5,,[102],"[""Stunned""]",,,,,,,,,,,
Ward of Steel,308,5,Ward,Recovers 10% Ward and grants Ward for 3 turns and increases damage absorption to 50%.,1,1,鋼之防護,,[308],,90,,"[92,55]",,,,,,,,,,,,25000
Fortify,309,3,Buff,Grants Ward for 3 turns.,1,1,強化術,,"[35,77,57,87]",,25,,,,,,,,,,,,,,5000
Perfect Shot,310,1,Attack,"Loose an arrow that deals paltry damage, but never misses a mark.",,1,完美射擊,,"[444,443]",,80,,,,0.75,1,1,1,,,1,0.05,Physical,,0
Mend Wall,311,3,Ward,Recovers 10% of Ward.,1,,補牆術,,"[35,77,57,87]",,15,,[55],,,,,,,,,,,,
Ice Affinity,312,8,Buff,Imbues your weapon with the power of water & ice.,1,,冰屬附掛,"[{""id"":46,""name"":""Arcanic"",""level"":175,""specialization"":false}]",[332],,80,"[""Water Att""]",,,,,,,,,,,,,
