name,id,description,type,tier,boss,arena,image,equipped_by,name_zh,stats.attack.base,materials,dropped_by,cures,quests,gives,stats.magic.base,causes,stats.defense.base,stats.ward.base,element,view_distance,stats.dexterity.base,stats.mana.base,stats.crit.base,stats.resistance.base,stats.hp.base,prevents
Genius,687,"The easily recognizable pole-arm of Cade, the great Avalonian inventor. Its hidden features can cause a variety of status effects.",Weapon,5,true,false,weapons/earth_pike.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",吉尼爾斯,128,"[{""id"":266,""name"":""Mythril""},{""id"":273,""name"":""Runestone""},{""id"":277,""name"":""Stone""},{""id"":283,""name"":""Wood""}]","[{""id"":288,""name"":""Ingenious Cade""},{""id"":440,""name"":""Arisen Cade""}]",---,---,---,---,"[""Burning"",""Bleeding"",""Frozen"",""Paralyzed"",""Poisoned"",""Def ↓"",""Rot"",""Res ↓""]",---,---,Lightning,---,---,---,---,---,---,---
Avalon Knight Helmet,688,Heavy armor of prestigious Avalon knights.,Head,8,true,false,armor/pale_helm.png,"[{""id"":1,""name"":""Warrior""}]",阿瓦隆騎士頭盔,---,"[{""id"":513,""name"":""Avalon Ore""}]","[{""id"":289,""name"":""Almighty Balin""},{""id"":441,""name"":""Arisen Balin""}]",---,---,---,---,---,202,---,---,---,---,---,---,52,---,---
Avalon Knight Leggings,689,Heavy armor of prestigious Avalon knights.,Legs,8,true,false,armor/pale_leggings.png,"[{""id"":1,""name"":""Warrior""}]",阿瓦隆騎士腿甲,---,"[{""id"":513,""name"":""Avalon Ore""}]","[{""id"":289,""name"":""Almighty Balin""},{""id"":441,""name"":""Arisen Balin""}]",---,---,---,---,---,202,---,---,---,---,---,---,52,---,---
Avalon Knight Armor,690,Heavy armor of prestigious Avalon knights.,Armor,8,true,false,armor/pale_armor.png,"[{""id"":1,""name"":""Warrior""}]",阿瓦隆騎士盔甲,---,"[{""id"":513,""name"":""Avalon Ore""}]","[{""id"":289,""name"":""Almighty Balin""},{""id"":441,""name"":""Arisen Balin""}]",---,---,---,---,---,202,---,---,---,---,---,---,52,---,---
Arisen Bone Shield,691,A shield made of harden monster bone.,Off-hand,8,true,false,wards/bone_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",重生骨盾,---,"[{""id"":278,""name"":""Undead Bone""}]","[{""id"":231,""name"":""Arisen Undead Golem""}]",---,---,---,---,---,48,18,---,---,---,---,---,---,48,---
Arch-Gadget,692,"One of the concoctions of Cade, the great inventor. This gadget prevents one from having their physical or magical defense lowered.",Accessory,5,false,false,acc/gadget.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",新版小發明,---,---,"[{""id"":420,""name"":""Age-Old Mimic""},{""id"":288,""name"":""Ingenious Cade""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":440,""name"":""Arisen Cade""}]",---,---,---,---,---,10,---,---,---,---,---,---,10,---,---
Rosewood Lute,693,"A talented bard's lute, playing it in battle may temporarily boost one's stats.",Weapon,4,false,false,weapons/lute3.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",紅木魯特琴,70,"[{""id"":273,""name"":""Runestone""},{""id"":283,""name"":""Wood""}]",---,---,---,"[""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""T. Res ↑""]",70,---,---,---,---,---,---,---,---,---,---,---
Valhallan Greaves,694,Heavy armor of Nothren valkyries.,Legs,9,false,false,armor/nothren_leggings.png,"[{""id"":1,""name"":""Warrior""}]",瓦爾哈蘭護脛,---,"[{""id"":666,""name"":""Baldur""}]","[{""id"":294,""name"":""Nothren Valkyrie""}]",---,---,---,---,---,210,---,---,---,---,---,---,40,28,---
Valhallan Helmet,695,Heavy armor of Nothren valkyries,Head,9,false,false,armor/nothren_helm.png,"[{""id"":1,""name"":""Warrior""}]",瓦爾哈蘭頭盔,---,"[{""id"":666,""name"":""Baldur""}]","[{""id"":294,""name"":""Nothren Valkyrie""}]",---,---,---,---,---,210,---,---,---,---,---,---,40,28,---
Valhallan Shield,696,Shield carried by valkyries of the Nothren lands.  It protects one from the cold.,Off-hand,9,false,false,wards/nothren_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦爾哈蘭盾,---,"[{""id"":666,""name"":""Baldur""}]","[{""id"":294,""name"":""Nothren Valkyrie""}]",---,---,---,---,---,---,26,Water,---,---,---,---,---,---,---
Valhalla's Rise,697,"A rare blade carried by the most gifted of Nothren vaklyries. It may grant one the stance of Gunnr, raising attack power but lowering defenses.",Weapon,9,false,false,weapons/blue_flame.png,"[{""id"":1,""name"":""Warrior""}]",瓦爾哈蘭之躍,210,"[{""id"":666,""name"":""Baldur""}]","[{""id"":294,""name"":""Nothren Valkyrie""}]",---,---,"[""Gunnr""]",---,"[""Frozen"",""T. Def ↓"",""T. Res ↓""]",---,---,Water,---,---,48,---,48,---,---
Valhallan Armor,698,Heavy armor of Nothren valkyries,Armor,9,false,false,armor/nothren_armor.png,"[{""id"":1,""name"":""Warrior""}]",瓦爾哈蘭盔甲,---,"[{""id"":666,""name"":""Baldur""}]","[{""id"":294,""name"":""Nothren Valkyrie""}]",---,---,---,---,---,210,---,---,---,---,---,---,40,22,---
Poison Arrows,699,"A quiver of arrows that are coated in a thick poison. Carrying these arrows in your off-hand gives the chance to poison an opponent, at the expense of Ward.",Off-hand,3,false,true,wards/poison_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",淬毒箭矢,12,"[{""id"":262,""name"":""Hide""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Poisoned""]",---,-25,---,---,---,---,---,---,---,---
Fire Arrows,700,"A quiver of arrows that are easily lit aflame. Carrying these arrows in your off-hand gives the chance to burn an opponent, at the expense of Ward.",Off-hand,3,false,true,wards/fire_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",火焰箭矢,12,"[{""id"":259,""name"":""Firestone""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Burning""]",---,-25,---,---,---,---,---,---,---,---
Dracon Shield,701,A shield depicting the emblem of Draconia. It's not very well constructed.,Off-hand,3,true,false,wards/dracon_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",德肯盾,---,"[{""id"":271,""name"":""Pure Draconite""}]","[{""id"":266,""name"":""Dracon""}]",---,---,---,---,---,---,9,---,---,---,---,---,---,---,---
Fomor Shield,702,A shield depicting the emblem of Fomoria.,Off-hand,4,true,false,wards/fomor_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",弗摩爾盾,---,"[{""id"":266,""name"":""Mythril""}]","[{""id"":207,""name"":""Fomor""}]",---,---,---,---,---,---,12,---,---,---,---,---,---,---,---
Frilled Naga Staff,703,Crude staff of a Frilled Naga mage.,Weapon,9,false,false,weapons/draco_sceptre.png,"[{""id"":2,""name"":""Mage""}]",褶傘那伽法杖,12,"[{""id"":249,""name"":""Bone""},{""id"":273,""name"":""Runestone""},{""id"":283,""name"":""Wood""}]","[{""id"":296,""name"":""Frilled Naga Mage""}]",---,---,---,201,---,---,---,---,---,---,---,---,---,---,---
Frilled Naga Halberd,704,Crude wearpon of a Frilled Naga warrior.,Weapon,9,false,false,weapons/halberd.png,"[{""id"":1,""name"":""Warrior""}]",褶傘那伽戟,201,"[{""id"":263,""name"":""Iron""}]","[{""id"":295,""name"":""Frilled Naga Warrior""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Ithra's Staff,705,"Thin, cold staff of Ithra, the White Knight. Ithra established the Frozenguard to combat the Draconian invasion.",Weapon,9,true,false,weapons/ithra_staff.png,"[{""id"":2,""name"":""Mage""}]",以斯拉法杖,---,"[{""id"":473,""name"":""Ortanite""},{""id"":280,""name"":""Waterstone""}]","[{""id"":220,""name"":""Fallen Ithra, the White Knight""}]",---,---,---,250,"[""Frozen""]",---,---,Water,---,100,---,---,---,---,---
Demeter's Halberd,706,"The contorted pole-arm of Demeter. Demeter created the Earthen Legion to restore and maintain balance to this world after the falling. Unfortunately, their fate came long before any notion of normality.",Weapon,9,true,false,weapons/demeter_halberd.png,"[{""id"":1,""name"":""Warrior""}]",狄蜜特之戟,250,"[{""id"":256,""name"":""Earthstone""},{""id"":473,""name"":""Ortanite""}]","[{""id"":233,""name"":""Fallen Demeter, the Earth Magus""}]",---,---,---,---,"[""Rot""]",---,3,Earthen,---,32,---,---,---,---,---
Atgeir,707,"A deadly polearm carried by the fallen Heimdall, a lord of the Nothren.",Weapon,8,true,false,weapons/atgeir.png,"[{""id"":1,""name"":""Warrior""}]",維京茅,178,"[{""id"":708,""name"":""Perfect Baldur""}]","[{""id"":298,""name"":""Heimdall""}]",---,---,---,---,"[""Bleeding""]",24,3,---,---,24,---,---,24,---,---
Perfect Baldur,708,"A perfect chunk of Baldur, favoured by the raiders of Nothren. It is useful for upgrading powerful equipment.",Material,8,true,false,materials/baldur.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",完美巴德爾光石,---,"[{""id"":707,""name"":""Atgeir""},{""id"":792,""name"":""Gungnir""},{""id"":709,""name"":""Heimdall's Shield""},{""id"":874,""name"":""Old Nothren Crown""}]","[{""id"":298,""name"":""Heimdall""},{""id"":313,""name"":""Odin""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Heimdall's Shield,709,Shield carried by the great Heimdall of the Nothren lands. It protects one from the cold.,Off-hand,8,true,false,wards/nothren_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",海姆達爾之盾,---,"[{""id"":708,""name"":""Perfect Baldur""}]","[{""id"":298,""name"":""Heimdall""}]",---,---,---,---,---,---,26,Water,---,---,---,---,---,---,"[""Stunned""]"
Arcane Arrows,710,"A quiver of arrows that are imbued with Annwn magic. Carrying these arrows in your off-hand gives the chance to give many status effects to an opponent, at the expense of Ward.",Off-hand,5,false,true,wards/arcane_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",奧術箭矢,24,"[{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Burning"",""Frozen"",""Paralyzed"",""Rot""]",---,-50,---,---,---,---,---,3,---,---
Blight Arrows,711,"A quiver of arrows that are imbued with dragonic powers. Carrying these arrows in your off-hand gives the chance to blight an opponent, at the expense of Ward.",Off-hand,5,true,true,wards/blight_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",枯萎箭矢,24,"[{""id"":255,""name"":""Dragonite""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Blight""]",---,-25,---,---,---,---,---,---,---,---
Thor's Arc,712,A masterfully crafted magical bow of Thor. Thor founded the Stormforce shortly before succumbing to the power of the falling. His bow can easily paralyze an opponent.,Weapon,9,true,false,weapons/thor_bow.png,"[{""id"":2,""name"":""Mage""}]",索爾之弓,---,"[{""id"":265,""name"":""Lightningstone""},{""id"":473,""name"":""Ortanite""}]","[{""id"":221,""name"":""Fallen Thor, the Storm God""}]",---,---,---,250,"[""Paralyzed""]",---,---,Lightning,---,---,---,---,---,---,---
Vulcan's Archistaff,713,"An embered Archistaff seldom wielded by Vulcan, the Red Knight. Vulcan formed the Knights of the Inferno to fight along side the forces of Annwn. His blade can easily burn an opponent.",Weapon,9,true,false,weapons/vulcan_staff.png,"[{""id"":2,""name"":""Mage""}]",瓦肯之權杖,---,"[{""id"":259,""name"":""Firestone""},{""id"":473,""name"":""Ortanite""}]","[{""id"":232,""name"":""Fallen Vulcan, the Red Knight""}]",---,---,---,250,"[""Burning""]",---,---,Fire,---,---,---,---,---,---,---
Vulcan Helmet,714,"Helmet of Vulcan, the infamous Red Knight. It grants immunity from being burned.",Head,8,true,false,armor/royal_helm.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯頭盔,---,"[{""id"":259,""name"":""Firestone""},{""id"":275,""name"":""Silver""}]","[{""id"":300,""name"":""Fallen Knight Vulcan""}]",---,---,---,---,---,196,---,---,---,---,---,---,56,---,---
Vulcan Cuirass,715,"Armor of Vulcan, the infamous Red Knight. It grants immunity from being burned.",Armor,8,true,false,armor/royal_chestplate.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯胸甲,---,"[{""id"":259,""name"":""Firestone""},{""id"":275,""name"":""Silver""}]","[{""id"":300,""name"":""Fallen Knight Vulcan""},{""id"":421,""name"":""Mimic King of Kings""}]",---,---,---,---,---,196,---,---,---,---,---,---,56,---,---
Vulcan Boots,716,"Footwear of Vulcan, the infamous Red Knight. It grants immunity from being burned.",Legs,8,true,false,armor/royal_boots.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯長靴,---,"[{""id"":259,""name"":""Firestone""},{""id"":275,""name"":""Silver""}]","[{""id"":300,""name"":""Fallen Knight Vulcan""},{""id"":421,""name"":""Mimic King of Kings""}]",---,---,---,---,---,196,---,---,---,10,---,---,56,---,---
Vulcan Charm,717,"A yellow crystal carried by Vulcan, the Red Knight. It increases magic power and mana when carried.",Accessory,8,true,false,acc/golden_crystal.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯護符,---,---,"[{""id"":430,""name"":""The Fool (2021)""},{""id"":300,""name"":""Fallen Knight Vulcan""},{""id"":421,""name"":""Mimic King of Kings""}]",---,---,---,48,---,---,---,---,---,---,180,---,---,---,---
Candle-staff,718,This staff of Pyre is eternally lit. Has a very high chance of causing an opponent to burn.,Weapon,5,true,false,weapons/firepike.png,"[{""id"":2,""name"":""Mage""}]",蠟燭法杖,42,"[{""id"":259,""name"":""Firestone""},{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""},{""id"":283,""name"":""Wood""}]","[{""id"":301,""name"":""Pyre""}]",---,---,---,118,"[""Burning""]",---,---,Fire,true,24,---,---,---,---,---
Candle-pike,719,This pike of Pyre is eternally lit. Has a very high chance of causing an opponent to burn.,Weapon,5,true,false,weapons/firepike.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",燭台,118,"[{""id"":259,""name"":""Firestone""},{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""},{""id"":283,""name"":""Wood""}]","[{""id"":301,""name"":""Pyre""}]",---,---,---,42,"[""Burning""]",---,---,Fire,true,12,---,---,---,---,---
Vulcan Buckler,720,"Buckler of Vulcan, the infamous Red Knight. It grants immunity from being burned.",Off-hand,8,true,false,wards/buckler.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯小盾,---,"[{""id"":259,""name"":""Firestone""},{""id"":275,""name"":""Silver""}]","[{""id"":430,""name"":""The Fool (2021)""},{""id"":300,""name"":""Fallen Knight Vulcan""},{""id"":421,""name"":""Mimic King of Kings""}]",---,---,---,---,---,---,21,---,---,---,---,---,56,---,---
Vulcan's Brew,721,A strong tonic brewed by Vulcan of the Inferno Knights. Consume it to slightly raise experience and items dropped for a limited time.,Item,6,true,false,useables/large_health_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",瓦肯之酒,---,---,"[{""id"":430,""name"":""The Fool (2021)""},{""id"":300,""name"":""Fallen Knight Vulcan""},{""id"":421,""name"":""Mimic King of Kings""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Arisen Masamune,722,A beautiful blade that resemble stars in the night sky.,Weapon,9,true,false,weapons/masamune.png,"[{""id"":3,""name"":""Thief""}]",重生正宗,220,"[{""id"":267,""name"":""Nightstone""}]","[{""id"":306,""name"":""Arisen Ronin""}]",---,---,---,220,---,---,---,---,---,---,---,---,---,---,---
Arisen Witch's Hat,723,"The symbolic headwear of Carman, the banished witch.",Head,9,true,false,armor/witch_hat.png,"[{""id"":2,""name"":""Mage""}]",重生女巫之帽,---,"[{""id"":262,""name"":""Hide""},{""id"":281,""name"":""Witchstone""}]","[{""id"":305,""name"":""Arisen Carman""}]",---,---,---,---,---,182,---,---,---,40,---,---,202,---,---
Ring of Restraint,724,"A ring that inhibits growth, greatly reducing the amount of experience earned while slightly increasing orns, gold, and items found.",Accessory,2,false,false,acc/sacrifice_ring.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",限制之戒,---,---,"[{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Explorer's Waystone,725,A stone imbued with the most curious of magic. Using it may guide you to something interesting.,Item,3,false,false,useables/explorers_waystone.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",探險者的引路石,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Arcane Scroll,726,"A scroll containing knowledge of arcane arts. It improves one's magic at the sacrifice of Ward, while adding a chance to burn, freeze, paralyze, or rot to spells.",Off-hand,6,false,true,wards/scroll_purple.png,"[{""id"":2,""name"":""Mage""}]",奧術卷軸,---,"[{""id"":256,""name"":""Earthstone""},{""id"":259,""name"":""Firestone""},{""id"":265,""name"":""Lightningstone""},{""id"":280,""name"":""Waterstone""}]",---,---,---,---,24,"[""Burning"",""Frozen"",""Paralyzed"",""Rot""]",---,-10,---,---,---,---,---,---,---,---
Mighty Griffin Shield,727,A shield crested the image of a Griffin. It protects one against Dragon attacks while boosting Ward.,Off-hand,9,true,false,wards/griffin_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",究極格里芬之盾,---,"[{""id"":728,""name"":""Skystone""}]","[{""id"":307,""name"":""Mighty Griffin""}]",---,---,---,---,---,---,28,Dragon,---,---,---,---,---,---,---
Skystone,728,Material imbued by the windy skies. Useful for upgrading powerful weapons.,Material,4,true,false,materials/sandstone.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",蒼穹石,---,"[{""id"":734,""name"":""Griffin Crested Shield""},{""id"":733,""name"":""Hurricane Arc""},{""id"":727,""name"":""Mighty Griffin Shield""},{""id"":729,""name"":""Mighty Tempest""}]","[{""id"":308,""name"":""Griffin""},{""id"":307,""name"":""Mighty Griffin""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Mighty Tempest,729,A bow signifying the great Griffin of the skies. Arrows shot from this bow can easily knock an opponent off-guard.,Weapon,9,true,false,weapons/griffin_arc.png,"[{""id"":3,""name"":""Thief""}]",迅疾如風,218,"[{""id"":728,""name"":""Skystone""}]","[{""id"":307,""name"":""Mighty Griffin""}]",---,---,---,---,"[""Stunned""]",---,---,---,---,78,---,---,---,---,---
Dragon Scroll,730,"A scroll containing knowledge of dragon arts. It improves one's magic and mana at the sacrifice of Ward, while adding a chance of blight to spells.",Off-hand,8,true,false,wards/scroll_dragon.png,"[{""id"":2,""name"":""Mage""}]",龍之卷軸,---,"[{""id"":255,""name"":""Dragonite""},{""id"":273,""name"":""Runestone""}]","[{""id"":149,""name"":""Fafnir""},{""id"":322,""name"":""Arisen Fafnir""}]",---,---,---,48,"[""Blight""]",---,-50,---,---,---,80,---,---,---,---
Reaping Sickle,731,"The followers of Apollyon are fearsome, and this great scythe is their chosen weapon. It has a high chance of causing an opponent to bleed.",Weapon,8,false,false,weapons/scythe.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",死神鐮刀,182,"[{""id"":252,""name"":""Darkstone""},{""id"":266,""name"":""Mythril""},{""id"":283,""name"":""Wood""}]","[{""id"":309,""name"":""Great Reaper""}]",---,---,---,---,"[""Bleeding""]",---,---,---,---,---,---,---,---,---,---
Imagination,732,"An extremely odd staff, carried by a cryptid mimic. It can occasionally cause unpredicted status effects.",Weapon,9,false,false,weapons/imagination.png,"[{""id"":2,""name"":""Mage""}]",幻影,---,"[{""id"":257,""name"":""Elstone""},{""id"":325,""name"":""Lightstone""},{""id"":275,""name"":""Silver""}]","[{""id"":304,""name"":""Mighty Mimic""}]",---,---,"[""T. Res ↑"",""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""Fire Def"",""Water Def"",""Earth Def"",""Lightning Def"",""Holy Def"",""Dark Def"",""All ↑""]",210,---,---,---,---,---,---,24,---,---,24,---
Hurricane Arc,733,A bow signifying the great Griffin of the skies. Arrows shot from this bow can easily knock an opponent off-guard.,Weapon,5,true,false,weapons/griffin_arc.png,"[{""id"":3,""name"":""Thief""}]",颶風弓,118,"[{""id"":728,""name"":""Skystone""}]","[{""id"":308,""name"":""Griffin""}]",---,---,---,---,"[""Stunned""]",---,---,---,---,24,---,---,---,---,---
Griffin Crested Shield,734,A shield crested the image of a Griffin. It protects one against Dragon attacks while boosting Ward.,Off-hand,5,true,false,wards/griffin_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",格里芬紋章盾,---,"[{""id"":728,""name"":""Skystone""}]","[{""id"":308,""name"":""Griffin""}]",---,---,---,---,---,---,15,Dragon,---,---,---,---,---,---,---
Arisen Witch's Scroll,735,"A scroll containing knowledge of a Witch's arts. It improves one's mana at the sacrifice of Ward, while adding a chance to inflict many status effects. to spells.",Off-hand,9,true,false,wards/scroll_purple.png,"[{""id"":2,""name"":""Mage""}]",重生女巫的卷軸,---,"[{""id"":281,""name"":""Witchstone""}]","[{""id"":305,""name"":""Arisen Carman""}]",---,---,---,---,"[""Bleeding"",""Poisoned"",""Blight"",""Blind"",""Asleep"",""Drenched""]",---,-50,---,---,---,120,---,---,---,---
Arisen Witch's Staff,736,"Old, decrepit, dark staff of a powerful witch. Slightly boosts experience earned.",Weapon,9,true,false,weapons/black_witch_staff.png,"[{""id"":2,""name"":""Mage""}]",重生女巫法杖,15,"[{""id"":281,""name"":""Witchstone""}]","[{""id"":305,""name"":""Arisen Carman""}]",---,---,---,220,---,---,---,Dark,---,---,---,---,---,---,---
Arisen Deathbringer,737,Blade taken from Ankou's deadly scythe. Increases orns and experience earned.,Weapon,9,true,false,weapons/deathbringer.png,"[{""id"":3,""name"":""Thief""}]",重生死亡使者,216,"[{""id"":270,""name"":""Pure Darkstone""}]","[{""id"":310,""name"":""Arisen Ankou""}]",---,---,---,66,---,---,---,Dark,---,15,---,---,---,---,---
Mage's Scroll,738,A scroll containing knowledge of basic magic. It improves one's magic at the sacrifice of Ward.,Off-hand,3,false,true,wards/scroll.png,"[{""id"":2,""name"":""Mage""}]",法師卷軸,---,"[{""id"":273,""name"":""Runestone""}]",---,---,---,---,12,---,---,-5,---,---,---,---,---,---,---,---
Scroll of Earth,739,"A scroll containing knowledge of earthen. It Improves one's magic at the sacrifice of Ward, while adding a chance to rot to spells.",Off-hand,3,false,true,wards/scroll_green.png,"[{""id"":2,""name"":""Mage""}]",大地卷軸,---,"[{""id"":256,""name"":""Earthstone""}]",---,---,---,---,12,"[""Rot""]",---,-5,---,---,---,---,---,---,---,---
Scroll of Fire,740,"A scroll containing knowledge of fire. It improves one's magic at the sacrifice of Ward, while adding a chance to burn to spells.",Off-hand,3,false,true,wards/scroll_red.png,"[{""id"":2,""name"":""Mage""}]",火焰卷軸,---,"[{""id"":259,""name"":""Firestone""}]",---,---,---,---,12,"[""Burning""]",---,-5,---,---,---,---,---,---,---,---
Witch's Scroll,741,"A scroll containing knowledge of a Witch's arts. It improves one's mana at the sacrifice of Ward, while adding a chance to inflict many status effects to spells.",Off-hand,6,true,false,wards/scroll_purple.png,"[{""id"":2,""name"":""Mage""}]",女巫的卷軸,---,"[{""id"":281,""name"":""Witchstone""}]","[{""id"":116,""name"":""Carman""},{""id"":219,""name"":""Carman of the Underworld""}]",---,---,---,---,"[""Bleeding"",""Poisoned"",""Blight"",""Blind"",""Asleep"",""Drenched""]",---,-25,---,---,---,80,---,---,---,---
Royal Shield,742,"The royal families often employed the use of rogues, arming them with pieces of great quality.",Off-hand,3,false,true,wards/royal_shield.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",皇家盾牌,---,"[{""id"":275,""name"":""Silver""},{""id"":345,""name"":""Soul""}]",---,---,---,---,---,---,---,9,---,---,10,---,---,---,---,---
Scroll of Ice,743,"A scroll containing knowledge of ice & water. It improves one's magic at the sacrifice of Ward, while adding a chance to freeze to spells.",Off-hand,3,false,true,wards/scroll_blue.png,"[{""id"":2,""name"":""Mage""}]",冰之卷軸,---,"[{""id"":280,""name"":""Waterstone""}]",---,---,---,---,12,"[""Frozen""]",---,-5,---,---,---,---,---,---,---,---
Scroll of Poison,744,"A scroll containing knowledge of poison arts. It improves one's magic at the sacrifice of Ward, while adding a chance to poison to spells.",Off-hand,3,false,true,wards/scroll_green.png,"[{""id"":2,""name"":""Mage""}]",毒術卷軸,---,"[{""id"":256,""name"":""Earthstone""}]",---,---,---,---,12,"[""Poisoned""]",---,-5,---,---,---,---,---,---,---,---
Scroll of Lightning,745,"A scroll containing knowledge of lightning. It improves one's magic at the sacrifice of Ward, while adding a chance to paralyze to spells.",Off-hand,3,false,true,wards/scroll_yellow.png,"[{""id"":2,""name"":""Mage""}]",閃電卷軸,---,"[{""id"":265,""name"":""Lightningstone""}]",---,---,---,---,12,"[""Paralyzed""]",---,-5,---,---,---,---,---,---,---,---
Darkest Garb,746,Dark armor of an undead wanderer. Increases orns earned.,Armor,8,false,false,armor/dark_garb.png,"[{""id"":3,""name"":""Thief""}]",深淵皮甲,---,"[{""id"":252,""name"":""Darkstone""}]","[{""id"":309,""name"":""Great Reaper""}]",---,---,---,---,---,168,---,---,---,6,---,---,52,---,---
Merchant's Waystone,750,A stone imbued with the most curious of magic. Use it to set a compass marker to the nearest shop in the world.,Item,1,false,false,useables/explorers_waystone.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",商人的引路石,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Earthen Arrows,751,"A quiver of arrows that are charged with the power of the earth below. Carrying these arrows in your off-hand gives the chance to cause an opponent to rot, at the expense of Ward.",Off-hand,3,false,true,wards/earthen_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",大地箭矢,12,"[{""id"":256,""name"":""Earthstone""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Rot""]",---,-25,---,---,---,---,---,---,---,---
Ice Arrows,752,"A quiver of arrows that are easily frozen. Carrying these arrows in your off-hand gives the chance to freeze an opponent, at the expense of Ward.",Off-hand,3,false,true,wards/ice_arrows.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",寒冰箭矢,12,"[{""id"":280,""name"":""Waterstone""},{""id"":283,""name"":""Wood""}]",---,---,---,---,---,"[""Frozen""]",---,-25,---,---,---,---,---,---,---,---
